precision,names,state,posterior,accuracy,rmsq
Selwerd.png,"['seen_1_0', 'know_valuable_1_0', 'know_vulnerable_1_0', 'motive_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1)",0.3796259048463199,0,0.62037409515368
Selwerd.png,"['seen_1_0', 'know_valuable_1_0', 'know_vulnerable_1_0', 'motive_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1)",0.37962590484632,0,0.62037409515368
Selwerd.png,"['seen_1_0', 'know_valuable_1_0', 'know_vulnerable_1_0', 'motive_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1)",2.0021554001917137e-07,1,2.0021554001917137e-07
Selwerd.png,"['seen_1_0', 'know_valuable_1_0', 'know_vulnerable_1_0', 'motive_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1)",2.002155400191714e-07,1,2.002155400191714e-07
Selwerd.png,"['seen_1_0', 'know_valuable_1_0', 'know_vulnerable_1_0', 'motive_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0)",2.0021554001917137e-07,1,2.0021554001917137e-07
Selwerd.png,"['seen_1_0', 'know_valuable_1_0', 'know_vulnerable_1_0', 'motive_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0)",2.0021554001917137e-07,1,2.0021554001917137e-07
Selwerd.png,"['seen_1_0', 'know_valuable_1_0', 'know_vulnerable_1_0', 'motive_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1)",2.002155400191714e-07,1,2.002155400191714e-07
Selwerd.png,"['seen_1_0', 'know_valuable_1_0', 'know_vulnerable_1_0', 'motive_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0)",2.0021554001917137e-07,1,2.0021554001917137e-07
Selwerd.png,"['seen_1_0', 'know_valuable_1_0', 'know_vulnerable_1_0', 'motive_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",2.0021554001917137e-07,1,2.0021554001917137e-07
Selwerd.png,"['seen_1_0', 'know_valuable_1_0', 'know_vulnerable_1_0', 'motive_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",2.0021554001917137e-07,1,2.0021554001917137e-07
