precision,names,state,posterior,accuracy,rmsq
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies']","(1, 1, 1, 1)",0.7071110010147095,1,0.2928889989852905
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies']","(1, 1, 1, 0)",0.7071110010147095,0,0.7071110010147095
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies']","(1, 1, 0, 0)",5.014522636857867e-07,1,5.014522636857867e-07
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies']","(1, 0, 0, 0)",5.014522636857867e-07,1,5.014522636857867e-07
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies']","(0, 1, 0, 0)",5.014522636857867e-07,1,5.014522636857867e-07
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies']","(0, 0, 0, 0)",5.014522636857866e-07,1,5.014522636857866e-07
precision,names,state,posterior,accuracy,rmsq
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies']","(1, 1, 1, 1)",0.7071110010147095,1,0.2928889989852905
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies']","(1, 1, 1, 0)",0.7071110010147095,0,0.7071110010147095
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies']","(1, 1, 0, 0)",5.014522636857867e-07,1,5.014522636857867e-07
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies']","(1, 0, 0, 0)",5.014522636857867e-07,1,5.014522636857867e-07
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies']","(0, 1, 0, 0)",5.014522636857867e-07,1,5.014522636857867e-07
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies']","(0, 0, 0, 0)",5.014522636857866e-07,1,5.014522636857866e-07
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies']","(1, 1, 1, 1)",0.7071110010147095,1,0.2928889989852905
